Name / Description,"<img src=""https://s5.postimg.cc/gn6oq7t3b/g_cont.png"" width=""20"" height=""20"" title=""Game"">",Src / Author
"[tut_desc name=""Adding Simple Pick up in Multiplayer"" desc=""allows players to pick up objects with +use in multiplayer."" link=""http://articles.thewavelength.net/707/"" /]",[HL2],"[author name=""LunarWolfX"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""More 3rd Person Camera Upgrades"" desc=""This is an update to chrono's snippet."" link=""http://articles.thewavelength.net/699/"" /]",[HL2],"[author name=""Yates"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Display player bounding box"" desc=""Adds a console command to output the players bounding box mins &amp; maxs to the console, and also draw's the bounding box in the world."" link=""http://articles.thewavelength.net/691/"" /]",[HL2],"[author name=""Beamish"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Adding explosion to the Xbow bolt"" desc=""Remember HL1's cross bow bolt exploded when it hit? Get that, in HL2."" link=""http://articles.thewavelength.net/683/"" /]",[HL2],"[author name=""Twilight Suzuka"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Static Ragdolls"" desc=""Ragdolls attached to their spawnpoint by a ragdoll constraint"" link=""http://articles.thewavelength.net/679/"" /]",[HL2],"[author name=""ts2do"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Making Bots Join A Team"" desc=""Make the bots join whichever team you wish. So easy, even I can do it!"" link=""http://articles.thewavelength.net/680/"" /]",[HL2],"[author name=""DOOManiac"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Fix MP Grenade Auto-Switching"" desc=""A basic fix for stopping the grenade from auto-switching to the next best weapon after you throw one. Also allows more than one grenade to be thrown."" link=""http://articles.thewavelength.net/671/"" /]",[HL2],"[author name=""trepid_jon"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Super Phys Cannon Impulse"" desc=""Get blue phys cannon with impulse 12"" link=""http://articles.thewavelength.net/636/"" /]",[HL2],"[author name=""ts2do"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Third Person Camera Upgrades"" desc=""Collision check, translucency"" link=""http://articles.thewavelength.net/645/"" /]",[HL2],"[author name=""Crono"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Coding a Mod by Lord Ned (188)"" desc=""You wanna make a mod? This tutorial focuses on the behind the scenes aspect, and less on the content."" link=""http://web.archive.org/web/20150207065829/http://www.halfwit-2.com/?page=tutorials&amp;id=188"" /]",[HL2],"[author name=""halfwit 2"" alt=""halfwit"" img=""https://s5.postimg.cc/f9ufvy39f/halfwit_author.png""]"
"[tut_desc name=""Coding a flashlight to secondary attack by Lord Ned (189)"" desc=""Changing a weapon's secondary fire to toggling the flashlight"" link=""http://web.archive.org/web/20141007162923/http://www.halfwit-2.com/?page=tutorials&amp;id=189"" download_link=""https://mega.nz/#F!dYoCzJBJ!BxS4gph7yOLwKoFFOrc3uA"" /]",[HL2],"[author name=""halfwit 2"" alt=""halfwit"" img=""https://s5.postimg.cc/f9ufvy39f/halfwit_author.png""]"
"[tut_desc name=""Adding Single-Player Weapons to Half-Life 2"" desc=""The purpose of this article is to help you add the code for new weapons to your Half-Life 2 mod."" link=""https://web.archive.org/web/20071225112423/http://collective.valve-erc.com/index.php?doc=1102638409-05843300"" /]",[HL2],"[author name=""Skyler \'Zipster\' York"" alt=""verc"" img=""https://i.postimg.cc/rsHbgHVc/verc-author.png"" /]"
