Name / Description,Src / Author
"[tut_desc name=""Rigging (10)"" desc=""Basic introduction to rigging models in the Source Filmmaker"" link=""https://www.youtube.com/watch?v=dPD1HTiRMYM"" /]","[author name=""Valve"" alt=""valve"" img=""https://s5.postimg.cc/qlk2h0t1f/valve_author.png""]"
"[tut_desc name=""Lighting (11)"" desc=""Basic introduction to lighting in the Source Filmmaker"" link=""https://www.youtube.com/watch?v=xO6ouPYmIrM"" /]","[author name=""Valve"" alt=""valve"" img=""https://s5.postimg.cc/qlk2h0t1f/valve_author.png""]"
"[tut_desc name=""Particles (12)"" desc=""Basic introduction to Particles in the Source Filmmaker"" link=""https://www.youtube.com/watch?v=zLry-0Oddmo"" /]","[author name=""Valve"" alt=""valve"" img=""https://s5.postimg.cc/qlk2h0t1f/valve_author.png""]"
"[tut_desc name=""Pose to Pose Animation (13) Part 1"" desc=""Introduction to Pose to Pose Animation in the Source Filmmaker"" link=""https://www.youtube.com/watch?v=iEz7TslI-fs"" /]","[author name=""Valve"" alt=""valve""  img=""https://s5.postimg.cc/qlk2h0t1f/valve_author.png""]"
"[tut_desc name=""Pose to Pose Animation (13) Part 2"" desc=""Continuation of Pose to Pose Animation in the Source Filmmaker"" link=""https://www.youtube.com/watch?v=7Gk0K_wwCdI"" /]","[author name=""Valve"" alt=""valve"" img=""https://s5.postimg.cc/qlk2h0t1f/valve_author.png""]"
"[tut_desc name=""Pose to Pose Animation (13) Part 3"" desc=""Final Part of Pose to Pose Animation in the Source Filmmaker"" link=""https://www.youtube.com/watch?v=khuUr84Tvsc"" /]","[author name=""Valve"" alt=""valve"" img=""https://s5.postimg.cc/qlk2h0t1f/valve_author.png""]"
"[tut_desc name=""How to port XNALara models to Source Filmmaker"" desc=""This tutorial will describe the basic process of importing, exporting and compiling a model, as well as creating very basic textures and materials for use with Source Filmmaker."" link=""https://sfmlab.com/guides/read/1/"" /]","[author name=""Ganonmaster"" alt=""sfmlabs"" img=""https://s5.postimg.cc/tx60er7yb/sfmlab_author.png""]"
"[tut_desc name=""Everything you need to know to create a simple scene"" desc=""Basic tutorial covering SFM indepth"" link=""https://sfmlab.com/guides/read/3/"" /]","[author name=""JacksKindaHere"" alt=""sfmlabs"" img=""https://s5.postimg.cc/tx60er7yb/sfmlab_author.png""]"
"[tut_desc name=""XPS to SFM conversion guide using Blender"" desc=""How to import XPS to SFM through Blender"" link=""https://www.youtube.com/watch?v=yumzB5YFU28"" /]","[author name=""Stealth211"" alt=""sfmlabs"" img=""https://s5.postimg.cc/tx60er7yb/sfmlab_author.png""]"
"[tut_desc name=""Importing a model and map into SFM"" desc=""Process of bringing custom assets into SFM"" link=""https://sfmlab.com/guides/read/2/"" /]","[author name=""JacksKindaHere"" alt=""sfmlabs"" img=""https://s5.postimg.cc/tx60er7yb/sfmlab_author.png""]"
"[tut_desc name=""KP's Basics Tutorial"" desc=""Covers camera controls, posing, lighting and exporting."" link=""http://www.mediafire.com/watch/y4eq7ok1o6u864u/KPs_SFM_Tutorial_-_Basics_-_Full_Video_WMV.wmv"" /]","[author name=""kp0988"" alt=""sfmlabs"" img=""https://s5.postimg.cc/tx60er7yb/sfmlab_author.png""]"
"[tut_desc name=""KP's Animation Tutorial"" desc=""covers animation in SFM"" link=""http://www.mediafire.com/watch/cu3wotobtop8kq7/Animation_Steam_for_12-14-14.webm"" /]","[author name=""kp0988"" alt=""sfmlabs"" img=""https://s5.postimg.cc/tx60er7yb/sfmlab_author.png""]"
"[tut_desc name=""KP's Porting Tutorial"" desc=""Covers porting from XNA lara to SFM"" link=""http://www.mediafire.com/watch/g3pjus3qxua9ded/KP's_XPS_to_SFM_Tutorial.webm"" download_link=""https://mega.nz/#F!MdBEBKwK!GEgdPs5PbLq1VXD1uU3q5g"" /]","[author name=""kp0988"" alt=""sfmlabs"" img=""https://s5.postimg.cc/tx60er7yb/sfmlab_author.png""]"
"[tut_desc name=""KP's Body Grouping Tutorial"" desc=""Covers body grouping in SFM"" link=""http://www.mediafire.com/download/mqw1bo6u74644rr/Bodygroup+Tutorial.rar"" /]","[author name=""kp0988"" alt=""sfmlabs"" img=""https://s5.postimg.cc/tx60er7yb/sfmlab_author.png""]"
"[tut_desc name=""KP's Animated GIFs"" desc=""Covers the creation of animated GIFs in SFM"" link=""http://www.mediafire.com/watch/jop1v5xcj39s71w/KP_SFM_Tut_-_Animated_Gifs.mp4"" /]","[author name=""kp0988"" alt=""sfmlabs"" img=""https://s5.postimg.cc/tx60er7yb/sfmlab_author.png""]"
"[tut_desc name=""SFM Material Overriding and useful VMT commands"" desc=""Covers the process required to modify materials"" link=""https://sfmlab.com/guides/read/7/"" /]","[author name=""Metssfm"" alt=""sfmlabs"" img=""https://s5.postimg.cc/tx60er7yb/sfmlab_author.png""]"
"[tut_desc name=""How to export animations into proper video files"" desc=""This little tutorial will show you an easy way to make your SFM animations into proper video files."" link=""https://sfmlab.com/guides/read/5/"" /]","[author name=""aregeecs"" alt=""sfmlabs"" img=""https://s5.postimg.cc/tx60er7yb/sfmlab_author.png""]"
"[tut_desc name=""Creating a Short Video From Start to Finish - Part 1"" desc=""Basics tutorial that takes you through the process of making a simple film"" link=""https://www.youtube.com/watch?v=HDa-I7dY11Y"" /]","[author name=""The Altimate"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Creating a Short Video From Start to Finish - Part 2"" desc=""Basics tutorial that takes you through the process of making a simple film"" link=""https://www.youtube.com/watch?v=aSpSdrY1SAI"" /]","[author name=""The Altimate"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Complex Animations - Part 1"" desc=""Guides you through the process of creating complex animations in SFM"" link=""https://www.youtube.com/watch?v=F5sptF0zV-g"" /]","[author name=""av3nger3"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Breathing / Alive"" desc=""Guides you through the process of creating breathing and life in your Characters"" link=""https://www.youtube.com/watch?v=i_FZLSYxPWo"" /]","[author name=""MrUgleh"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Lighting Tutorial"" desc=""Guides you through the process of creating Light"" link=""https://www.youtube.com/watch?v=SB7PvrsUxkk"" /]","[author name=""Knightspore"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""How To Do Global Dynamic Lighting"" desc=""Guides you through the process of creating Global Dynamic Lighting"" link=""https://www.youtube.com/watch?v=L5QV5kU01a0"" /]","[author name=""Austin Zveare"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Stylized lighting"" desc=""Guides you through the process of creating Stylized Lighting"" link=""https://www.youtube.com/watch?v=1qKbazwEdmQ"" /]","[author name=""Zachariah Scott"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Bad Medicine Particle Bird Tutorial"" desc=""This tutorial roughly runs you through how I built the Uber Archimedes particle for my film Bad Medicine"" link=""https://www.youtube.com/watch?v=jiLGNQX5xAY"" /]","[author name=""Zachariah Scott"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""How to get the Robotic Boogaloo Items into SFM"" desc=""This tutorial shows you how to access the new TF2 VPK files using GCFScape"" link=""https://www.youtube.com/watch?v=WjLOiJfyhjo"" /]","[author name=""Pte Jack"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Shaky Cam Effect"" desc=""This tutorial shows you how to create the shaky cam effect"" link=""https://www.youtube.com/watch?v=0JSHVY5T87Q"" /]","[author name=""reznoire"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Walk Cycle Tutorial - Part 1"" desc=""This tutorial shows you how to create a walk cycle"" link=""https://www.youtube.com/watch?v=bE-jakm9mcQ"" /]","[author name=""Will Hurrell"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Depth Of Field Tutorial (Source Filmmaker)"" desc=""Depth Of Field Tutorial (Source Filmmaker)"" link=""https://www.youtube.com/watch?v=U34pmbRENUc"" /]","[author name=""7SourceFilms"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Reverse Tracking Shot/ Hitchcock effect"" desc=""This tutorial shows you how to create a reverse tracking shot"" link=""https://www.youtube.com/watch?v=Bnd2Wc0xvmA"" /]","[author name=""Bromine And Barium"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Moving Camera Tutorial"" desc=""This tutorial shows you how to create a moving camera shot"" link=""https://www.youtube.com/watch?v=rUd8r56jetc"" /]","[author name=""Chubzdoomer"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""How to Kill Animation in a Shot"" desc=""This video shows how to kill animation or a portion of an animation for an element or a whole model in an animation set. "" link=""https://www.youtube.com/watch?v=pwg8m__LzzA"" /]","[author name=""Pte Jack"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Live Animation Tips"" desc=""In this video I analyze an animation I have made and fix it up a bit, giving tips and tricks a long the way"" link=""https://www.youtube.com/watch?v=bbXneLWoMqc"" /]","[author name=""Will Hurrell"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Boulder Heavy Camerawork pass"" desc=""Tutorial on the camera styles used in Bolder Heavy"" link=""https://www.youtube.com/watch?v=r2izDJDLoqo"" /]","[author name=""Zachariah Scott"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Depth of Field Tutorial"" desc=""In this tutorial, I show you how to create a depth of field effect."" link=""https://www.youtube.com/watch?v=cOT95RlDLJk"" /]","[author name=""Chubzdoomer"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Procedurals - 10 Minute Tutorial"" desc=""In this video I cover Procedurals in detail, giving examples for most."" link=""https://www.youtube.com/watch?v=fAxz2S0r168"" /]","[author name=""Will Hurrell"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Medic Healing"" desc=""This tutorial assumes that you've watched Valve's official tutorials. and shows to to recreate the medic healing scenario"" link=""https://www.youtube.com/watch?v=jC_cMQJ1xvc"" /]","[author name=""scien tist"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""How to Build a Simple Video Using Game Mode in SFM - Part 1"" desc=""This tutorial session acts as a learning tool to discover how to do basic things in SFM."" link=""https://www.youtube.com/watch?v=luWCVLkXk-E"" /]","[author name=""Pte Jack"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Camera Basics"" desc=""In this tutorial, I will show you the basics on how to use cameras."" link=""https://www.youtube.com/watch?v=hnoFC5O8TUA"" /]","[author name=""GamerChick5567"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""How to make a short SFM video"" desc=""Some basics of SFM"" link=""https://www.youtube.com/watch?v=OyOUhiHQW6U"" /]","[author name=""KawaFeel"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Complex Animations - Part 2"" desc=""This is a tutorial that explains complex animation in Valve's Source Filmmaker."" link=""https://www.youtube.com/watch?v=aiaN1iD9a6o"" /]","[author name=""av3nger3"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Making a Poster - Part 1 (framing)"" desc=""Going through making a poster and setting up the shot."" link=""https://www.youtube.com/watch?v=Eht7vIZqDcE"" /]","[author name=""ProfessorOleander"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Making a Poster - Part 2 (locking)"" desc=""Some tricks I learned about locking weapons and items to characters."" link=""https://www.youtube.com/watch?v=NPCys3-pUIc"" /]","[author name=""ProfessorOleander"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Making a Poster - Part 3 (particles)"" desc=""Finishing up the poses then starting to add particles."" link=""https://www.youtube.com/watch?v=dU08y_R2ZNs"" /]","[author name=""ProfessorOleander"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Making a Poster - Part 4 (lighting)"" desc=""Tidying up particles and adding lights."" link=""https://www.youtube.com/watch?v=O7w8nNfrX3o"" /]","[author name=""ProfessorOleander"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Making a Poster - Part 5 (finale)"" desc=""Finishing up and adding AO and changing the render settings."" link=""https://www.youtube.com/watch?v=pqcKNft_xlU"" /]","[author name=""ProfessorOleander"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Playing around with the particle editor : BLUE TRIGONS"" desc=""I show you how to make Blue triangles and then cause them to emit from a medic."" link=""https://www.youtube.com/watch?v=Zt8GPDMYu4o"" /]","[author name=""Zachariah Scott"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Create a particle Wheatfield"" desc=""Create a nifty animated wheatfield"" link=""https://www.youtube.com/watch?v=xyHUuhCQO70"" /]","[author name=""Zachariah Scott"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Long Lighting Walkthrough"" desc=""a long long LONG lighting walkthrough of a wrongfloor turret ring scene"" link=""https://www.youtube.com/watch?v=JOIzjD4bMfg"" /]","[author name=""Zachariah Scott"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""IK Rigs and IK/FK blending"" desc=""A quick run through of some IK rig basics and a neat trick with ik/fk blending"" link=""https://www.youtube.com/watch?v=Dn-PqHS20Uo"" /]","[author name=""Zachariah Scott"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""SFM light projection tutorial"" desc=""a really quick run through of how to project your own texture through a light in SFM"" link=""https://www.youtube.com/watch?v=FmeGYhziVYU"" /]","[author name=""Zachariah Scott"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Hiding an Edit in Motion"" desc=""Basic tutorial detailing an edit in motion"" link=""https://www.youtube.com/watch?v=BCRgU3Ys6aY"" /]","[author name=""Zachariah Scott"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Into the Graph Editor! - Part 1"" desc=""Learn how to make a ball bounce realistically using the Graph Editor in this simple tutorial video. "" link=""https://www.youtube.com/watch?v=SwAwpJ2NN_c"" /]","[author name=""Thomas Larson"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Into the Graph Editor! - Part 2"" desc=""We explore use the graph editor to create counter-animation"" link=""https://www.youtube.com/watch?v=btU9OJIkY1A"" /]","[author name=""Thomas Larson"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Into the Graph Editor! - Part 3"" desc=""Learn the basics of pose-to-pose with a simple animation of the Scout jumping."" link=""https://www.youtube.com/watch?v=04NrYE8sVYI"" /]","[author name=""Thomas Larson"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Into the Graph Editor! - Part 4"" desc=""Learn the basics of pose-to-pose animation with a generic walk-cycle using Source Filmmaker."" link=""https://www.youtube.com/watch?v=-L7nvTyu-Zg"" /]","[author name=""Thomas Larson"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Into the Graph Editor! - Part 5"" desc=""We complete our walk cycle tutorial by discussing weight, balance &amp; lead/follow."" link=""https://www.youtube.com/watch?v=lLCtfSKp9xc"" /]","[author name=""Thomas Larson"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Into the Graph Editor! - Part 6"" desc=""An essential lesson on using reference to create believable animation."" link=""https://www.youtube.com/watch?v=-WbZQ2YLmMs"" /]","[author name=""Thomas Larson"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Into the Graph Editor! - Part 7"" desc=""Learn the value of ""stepped"" keys and how to have a little more fun with your animation"" link=""https://www.youtube.com/watch?v=nt6_ntdjCN0"" /]","[author name=""Thomas Larson"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""SFM Tutorial #1 - Animation"" desc=""In this Tutorial i'll be showing you on how to make your own Animation in the source filmmaker"" link=""https://www.youtube.com/watch?v=2AHzM9fQ7Z4"" /]","[author name=""KnifeStrikerz"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""SFM Tutorial #2 - Camera Movements"" desc=""In this Tutorial i'll be showing you on how to make your own Camera Movements in the source filmmaker"" link=""https://www.youtube.com/watch?v=dyiLoOSKwMs"" /]","[author name=""KnifeStrikerz"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""SFM Tutorial #3 - Lights"" desc=""In this Tutorial i'll be showing you on how to make your own Lighting in the source filmmaker"" link=""https://www.youtube.com/watch?v=B5civsyzlqM"" /]","[author name=""KnifeStrikerz"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""How to Cloak Models"" desc=""Learn how to cloak TF2 models in SFM! This involves the Element Viewer so be careful!"" link=""https://www.youtube.com/watch?v=2OGzZEumXig"" /]","[author name=""iKonakona"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""How to get Portal 2, CS:GO, HL2 and L4D2 into SFM"" desc=""I go over how import non-TF2 stuff into SFM. Have fun making movies!"" link=""https://www.youtube.com/watch?v=HUU1Cv8ibjI"" /]","[author name=""iKonakona"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Short walking cycle demostration"" desc=""A very simple demo showing how a walking cycle works."" link=""https://www.youtube.com/watch?v=rYMy8tFeqyo"" /]","[author name=""WisaF"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""SFM Basic Keyframed Manual Lipsync"" desc=""Covers the basics of keframed lip syncing"" link=""https://www.youtube.com/watch?v=xXoOxHnmZb4"" /]","[author name=""Anatoly Volnov"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""FK arms on TF2 IK rigs"" desc=""Adding Fk to an IK rig"" link=""https://www.youtube.com/watch?v=OGmAjx7gBd8"" download_link=""https://mega.nz/#F!QV5WnRSa!F5M6GSsS9XcmMmznUPrjhg"" /]","[author name=""Anatoly Volnov"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""DOME R+D Breakdown: Shot lighting in the Source Filmmaker"" desc=""Breakdown of how to get shot lighting in SFM"" link=""https://www.youtube.com/watch?v=4WN6kVXwjao"" /]","[author name=""Mighty Treehouse"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Speeding light effect"" desc=""This tutorial shows how to make the background effect seen in almost every shot of the microfilm Heavy's Falcon Punch"" link=""https://www.youtube.com/watch?v=wE9yPmtDEYI"" /]","[author name=""marothon90"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Character Lighting Basics"" desc=""Explains Lighting a Character"" link=""https://www.youtube.com/watch?v=6McfZmwgBQ0"" /]","[author name=""Zachariah Scott"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Light settings / parameters tutorial"" desc=""a long, shabby explanation where I try to explain what all the sliders do."" link=""https://www.youtube.com/watch?v=cKnpx9ajemg"" /]","[author name=""MaxOfS2D"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""A simple example of lighting"" desc=""A simple example of lighting in SFM"" link=""https://www.youtube.com/watch?v=bqAyDVevmcQ"" /]","[author name=""Orna'Fulsamee"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""A simple example of animating."" desc=""A simple example of Animating in SFM"" link=""https://www.youtube.com/watch?v=saBXJRSsHQM"" /]","[author name=""Orna'Fulsamee"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Basic Animation (Tut 3)"" desc=""In this tutorial, I'll teach you the 3 different types of basic animation in SFM, Pose to Pose, Motion Ramps and Graph Animating. Thanks for watching!"" link=""https://www.youtube.com/watch?v=hxYtpfOQGcg"" /]","[author name=""RileyPivot"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Making a camera look at a moving character"" desc=""Follow a character with a camera"" link=""https://www.youtube.com/watch?v=1l-E7N8xWpQ"" /]","[author name=""MulleDK19"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Painting items from within SFM"" desc=""Modify materials of objects within SFM"" link=""https://www.youtube.com/watch?v=EFEFuqSjSDw"" download_link=""https://mega.nz/#F!hApmjD4B!YLa75GRM24eEtRlRGCT6IQ"" /]","[author name=""MrUgleh"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""How to show a video inside a video!"" desc=""Just a quick tutorial about how to show a video or animated image inside a SFM video (Spanish Audio / English Subs)"" link=""https://www.youtube.com/watch?v=EFEFuqSjSDw"" /]","[author name=""Condoriano"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Paint hats (Mullets at least)!"" desc=""If you would like to color your hair at least you may want to check this video out."" link=""https://www.youtube.com/watch?v=-lXlj-UWYcA"" /]","[author name=""Zatemedek"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Custom Color Correction in Source Filmmaker"" desc=""Color correct your scenes from within SFM"" link=""https://www.youtube.com/watch?v=PK2WZvTPrOY"" /]","[author name=""inabahare"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Sequence Transition Tutorial"" desc=""Combining sequences within SFM"" link=""https://www.youtube.com/watch?v=zEe4N_QhFAE"" /]","[author name=""krailyx"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Loading levels and spawning entities"" desc=""CoryCee takes you through a quick overview of what you can do with the new Source Filmmaker"" link=""https://www.youtube.com/watch?v=CSlEs3uLac8"" /]","[author name=""CoryCee"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Spy Sapping Buildings (Game Logic)"" desc=""Spy Sapping Buildings"" link=""https://www.youtube.com/watch?v=dXJfzbqmLr8"" /]","[author name=""scien tist"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Rocket Collision On Added Models"" desc=""add collision to meshes"" link=""https://www.youtube.com/watch?v=z5HSxzKGIZk"" /]","[author name=""scien tist"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""Live Stream (Frax777)"" desc=""Walks through the creation of a scene in SFM"" link=""https://www.youtube.com/watch?v=eUUV9mE0hz4"" /]","[author name=""Frax777"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
"[tut_desc name=""How to put the Gunmettle maps from TF2 into SFM"" desc=""Well Well Well, looks like GCFScape didnt work and now your searching up how to put these maps in sfm? Well here I am to tell YOU how to do it!"" link=""http://steamcommunity.com/sharedfiles/filedetails/?id=510587953"" /]","[author name=""DaraK™"" alt=""steam"" img=""https://s5.postimg.cc/xxn9l8b2b/steam_community_author.png""]"
"[tut_desc name=""Moving Camera Shots"" desc=""Walks through the creation of a moving camera in SFM"" link=""https://www.youtube.com/watch?v=Ll2nO2E5HSo"" /]","[author name=""reznoire"" alt=""yt"" img=""https://s5.postimg.cc/ld043nxmr/author_yt.png""]"
