Name / Description,"<img src=""https://s5.postimg.cc/gn6oq7t3b/g_cont.png"" width=""20"" height=""20"" title=""Game Tutorial Relates to!"">",Src / Author
"[tut_desc name=""Setting up a Mod: Part 4, Customised HUD colour"" desc=""Change the colour of your HUD."" link=""https://twhl.info/wiki/page/Tutorial%3A_Setting_up_a_Mod%3A_Part_4_Customised_HUD_colour"" /]",[hl],"[author name=""m0p"" alt=""twhl"" img=""https://s5.postimg.cc/whili5xqb/twhl_author.png""]"
"[tut_desc name=""Setting up a Mod: Part 2, Splash Screens"" desc=""Adding splash screens to your custom Mod"" link=""https://twhl.info/wiki/page/Tutorial%3A_Setting_up_a_Mod%3A_Part_2_Splash_Screens"" download_link=""https://mega.nz/#F!xBIwGQQB!hPlT-wAsyyjWAIGjhp6JFQ"" /]",[hl],"[author name=""Steinin"" alt=""twhl"" img=""https://s5.postimg.cc/whili5xqb/twhl_author.png""]"
"[tut_desc name=""HOW TO PREPARE A MAP FOR DISTRIBUTION"" desc=""This tutorial will explain how to prepare a .zip file for your map for distribution or testing. "" link=""http://web.archive.org/web/http://www.game-edit.org/tutorials/general/map_zip/map_zip.html"" /]",[hl],"[author name=""snowdog"" alt=""doe"" img=""https://s5.postimg.cc/4a8n2cuf7/doe.png""]"
"[tut_desc name=""How to Make a Half-Life Modification"" desc=""An extensive guide everyone will enjoy!"" link=""http://articles.thewavelength.net/266/"" /]",[hl],"[author name=""EarthQuake"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Files and folders required to make a Mod"" desc=""This setup is based on the basis of a simple working mod"" link=""http://web.archive.org/web/20150316130846/http://halflifezone.com/forums/viewtopic.php?f=39&t=57"" /]",[hl],"[author name=""hl_freak"" alt=""generic"" img=""https://s5.postimg.cc/oq1vjltkz/generic_author.png"" /]"
"[tut_desc name=""Lights.rad source"" desc=""Lights.rad source"" link=""https://web.archive.org/web/20040811102757/http://snarfevs.gamedesign.net:80/lights.htm"" download_link=""https://web.archive.org/web/20040811132610/http://snarfevs.gamedesign.net:80/Downloads/lights.rad"" /]",[hl],"[author name=""snarfevs"" alt=""generic"" img=""https://s5.postimg.cc/oq1vjltkz/generic_author.png"" /]"
"[tut_desc name=""Entity list"" desc=""has some explanations"" link=""https://web.archive.org/web/20010511175437/http://www.gameditors.co.uk:80/wc/entities.htm"" /]",[hl],"[author name=""unknown"" alt=""generic"" img=""https://s5.postimg.cc/oq1vjltkz/generic_author.png"" /]"
"[tut_desc name=""Mod editing"" desc=""Mod editing"" link=""https://web.archive.org/web/20010523180755/http://planethalf-life.com:80/snarkpit/mods/mod_types.htm"" /]",[hl],"[author name=""unknown"" alt=""snarkpit"" img=""https://s5.postimg.cc/4c8gznq6f/snarkpit.png"" /]"
"[tut_desc name=""Advanced compile"" desc=""Advanced compile"" link=""https://web.archive.org/web/20010527025843/http://planethalf-life.com:80/snarkpit/editing/advanced_compile.htm"" /]",[hl],"[author name=""unknown"" alt=""snarkpit"" img=""https://s5.postimg.cc/4c8gznq6f/snarkpit.png"" /]"
"[tut_desc name=""Setting up your compilers"" desc=""Setting up your compilers"" link=""https://web.archive.org/web/20010527030105/http://planethalf-life.com:80/snarkpit/editing/compiler_setup.htm"" /]",[hl],"[author name=""unknown"" alt=""snarkpit"" img=""https://s5.postimg.cc/4c8gznq6f/snarkpit.png"" /]"
"[tut_desc name=""Compiling Errors from the old Snarkpit"" desc=""Compiling Errors from the old Snarkpit"" link=""https://web.archive.org/web/20010512081321/http://planethalf-life.com:80/snarkpit/editing/compiling.htm"" /]",[hl],"[author name=""unknown"" alt=""snarkpit"" img=""https://s5.postimg.cc/4c8gznq6f/snarkpit.png"" /]"
"[tut_desc name=""Tips on Mapping"" desc=""Scroll down to uncover a list of useful tips on Half-Life Mapping"" link=""http://web.archive.org/web/20030219023548/http://www.megaone.com/nem/resources.html"" /]",[hl],"[author name=""Ryan Greg"" alt=""generic"" img=""https://s5.postimg.cc/oq1vjltkz/generic_author.png""]"
"[tut_desc name=""FAQ from the old Snarkpit"" desc=""This page has a whole bunch of problems you probably will encounter at some time, and how to fix them."" link=""https://web.archive.org/web/20010527030511/http://planethalf-life.com:80/snarkpit/editing/huh.htm"" /]",[hl],"[author name=""unknown"" alt=""snarkpit"" img=""https://s5.postimg.cc/4c8gznq6f/snarkpit.png"" /]"
"[tut_desc name=""QERadiant Misc Tips & Tricks"" desc=""Misc Tips & Tricks for QERadiant"" link=""https://web.archive.org/web/20020214085250/http://halflife.qeradiant.com:80/misc/misc00.htm"" /]",[hl],"[author name=""Rage"" alt=""generic"" img=""https://s5.postimg.cc/oq1vjltkz/generic_author.png"" /]"
"[tut_desc name=""Half-Life Entitylist"" desc=""Half-Life Entitylist from QERadiant"" link=""https://web.archive.org/web/20020219173723fw_/http://halflife.qeradiant.com:80/entities.htm"" /]",[hl],"[author name=""Tiger"" alt=""generic"" img=""https://s5.postimg.cc/oq1vjltkz/generic_author.png"" /]"
"[tut_desc name=""Accessing the Half-Life Console"" desc=""Accessing the Half-Life Console"" link=""https://web.archive.org/web/20021219134015/http://valve-erc.com/resources/?page=console"" /]",[hl],"[author name=""unknown"" alt=""verc"" img=""https://i.postimg.cc/rsHbgHVc/verc-author.png"" /]"
"[tut_desc name=""In Game Scripted Movie - Placing and Viewing Simple Cameras"" desc=""Placing and Viewing Simple Cameras"" link=""https://web.archive.org/web/20040422023632/http://planethalflife.com:80/vision/tutorials/Ingame01_01.htm"" /]",[hl],"[author name=""pov"" alt=""generic"" img=""https://s5.postimg.cc/oq1vjltkz/generic_author.png"" /]"
"[tut_desc name=""All commands for half life"" desc=""All commands half life 1"" link=""https://steamcommunity.com/sharedfiles/filedetails/?id=1415459571"" /]",[hl],"[author name=""ホαקкус"" alt=""steam"" img=""https://s5.postimg.cc/xxn9l8b2b/steam_community_author.png"" /]"
"[tut_desc name=""Half-Life Editing Tips"" desc="" Read it! Whether you've been mapping 'forever' or just starting out, there's probably something for you here."" link=""http://web.archive.org/web/http://www.halflife.gamedesign.net/resources/hltips.shtml"" /]",[hl],"[author name=""Dave Johnson"" alt=""herc"" img=""https://s5.postimg.cc/8b4jt9n2b/herc.png""]"
"[tut_desc name=""Editing Glossary"" desc=""This pages lists commonly used editing terms and tells you what the heck they mean."" link=""https://web.archive.org/web/20010527025138/http://planethalf-life.com:80/snarkpit/newbies/glossary.htm"" /]",[hl],"[author name=""unknown"" alt=""snarkpit"" img=""https://s5.postimg.cc/4c8gznq6f/snarkpit.png"" /]"
"[tut_desc name=""Accessing the Half-Life Console"" desc=""Accessing the Half-Life Console"" link=""http://web.archive.org/web/http://halflife.gamedesign.net/resources/console.shtml"" /]",[hl],"[author name=""HERC"" alt=""herc"" img=""https://s5.postimg.cc/8b4jt9n2b/herc.png""]"
"[tut_desc name=""Building the SDK"" desc=""botmans article on Building the SDK"" link=""http://hpb-bot.bots-united.com/building.html"" /]",[hl],"[author name=""botman"" alt=""generic"" img=""https://s5.postimg.cc/oq1vjltkz/generic_author.png""]"
"[tut_desc name=""Overview of Half-Life Entities on Half-Life Editing Resource Center"" desc=""Overview of Half-Life Entities on Half-Life Editing Resource Center"" link=""http://web.archive.org/web/http://www.halflife.gamedesign.net/tutorials.shtml"" /]",[hl],"[author name=""HERC"" alt=""herc"" img=""https://s5.postimg.cc/8b4jt9n2b/herc.png""]"
"[tut_desc name=""Steam"" desc=""Mapping with Steam"" link=""https://twhl.info/wiki/page/Tutorial%3A_Steam"" /]",[hl],"[author name=""Seventh-Monkey"" alt=""twhl"" img=""https://s5.postimg.cc/whili5xqb/twhl_author.png""]"
"[tut_desc name=""Overviews"" desc=""How to make map overviews"" link=""http://www.snarkpit.net/snarkpower/articles/game/cat/pn/tp/24/Overviews"" /]",[hl],"[author name=""Adam Hawkins"" alt=""snarkpit"" img=""https://s5.postimg.cc/4c8gznq6f/snarkpit.png""]"
"[tut_desc name=""Terms and tips for more successful mapping - Part 2"" desc=""Terms and tips for more successful mapping"" link=""http://web.archive.org/web/20031204164427/http://www.planethalflife.com/chaincraft/resources/explanations2.htm"" /]",[hl],"[author name=""Chaincraft"" alt=""generic"" img=""https://s5.postimg.cc/oq1vjltkz/generic_author.png""]"
"[tut_desc name=""Terms and tips for more successful mapping - Part 3"" desc=""Terms and tips for more successful mapping"" link=""http://web.archive.org/web/20031204165304/http://www.planethalflife.com/chaincraft/resources/explanations3.htm"" /]",[hl],"[author name=""Chaincraft"" alt=""generic"" img=""https://s5.postimg.cc/oq1vjltkz/generic_author.png""]"
"[tut_desc name=""Terms and tips for more successful mapping - Part 4"" desc=""Terms and tips for more successful mapping"" link=""http://web.archive.org/web/20031204171331/http://www.planethalflife.com/chaincraft/resources/explanations4.htm"" /]",[hl],"[author name=""Chaincraft"" alt=""generic"" img=""https://s5.postimg.cc/oq1vjltkz/generic_author.png""]"
"[tut_desc name=""Hotkeys For Worldcraft(VHE)"" desc=""Hotkeys For Worldcraft(VHE)"" link=""http://web.archive.org/web/20151029143322/http://www.slackiller.com/tutorials/tutorials/hotkeys.htm"" /]",[hl],"[author name=""Eyeronik"" alt=""eyeronik"" img=""https://s5.postimg.cc/7sbwqmxhf/eyeronik.png""]"
"[tut_desc name=""Mapping Tips"" desc=""Mapping Tips from Eyeronik"" link=""http://web.archive.org/web/20151029143602/http://www.slackiller.com/tutorials/tutorials/maptips.htm"" /]",[hl],"[author name=""Eyeronik"" alt=""eyeronik"" img=""https://s5.postimg.cc/7sbwqmxhf/eyeronik.png""]"
"[tut_desc name=""Advanced Half-Life editing FAQ"" desc=""Advanced Half-Life editing FAQ"" link=""http://web.archive.org/web/20010505231645/http://vibrants.dk/jchq/faq/errors.htm"" /]",[hl],"[author name=""jch"" alt=""generic"" img=""https://s5.postimg.cc/oq1vjltkz/generic_author.png""]"
"[tut_desc name=""General Half-Life Cmds &amp; Cvars"" desc=""General Half-Life Cmds &amp; Cvars"" link=""http://web.archive.org/web/20021216211327/http://server.counter-strike.net/gencmd.html"" /]",[hl],"[author name=""counter-server"" alt=""generic"" img=""https://s5.postimg.cc/oq1vjltkz/generic_author.png""]"
"[tut_desc name=""Where is Poppy – Setting up a GoldSrc Mod""  desc=""In this, the first part in the 'Where is Poppy' modding tutorial series i highlight the steps required for setting up your GoldSrc Mod for its first run."" link=""http://www.sourcemodding.com/tutorials/goldsrc/projects/where-is-poppy/setting-up-a-goldsrc-mod/"" /]",[hl],"[author name=""sourcemodding"" alt=""sourcemodding"" img=""https://s5.postimg.cc/qqsf4fpqb/sourcemodding_author.png""]"
"[tut_desc name=""the303.org GoldSrc Research Page"" desc=""The 303.org's GoldSrc Research page"" link=""http://www.the303.org/tutorials/gold_research.htm"" /]",[hl],"[author name=""TheCorp303"" alt=""303"" img=""https://s5.postimg.cc/h73wmuegz/303_mini.png""]"
"[tut_desc name=""HL Movies"" desc=""Impress your fans with a video"" link=""http://www.snarkpit.net/snarkpower/articles/game/cat/pn/tp/84/HL_Movies"" /]",[hl],"[author name=""Forceflow"" alt=""snarkpit"" img=""https://s5.postimg.cc/4c8gznq6f/snarkpit.png""]"
"[tut_desc name=""Launch Parameters with description"" desc=""Launch Parameters with description"" link=""https://gamebanana.com/tuts/12530"" /]",[hl],"[author name=""theNurky"" alt=""gamebanana"" img=""https://s5.postimg.cc/daa8em6fr/gamebanana_author.png"" /]"
"[tut_desc name=""Custom Menu Art for your MOD"" desc=""A complete tutorial on creating a custom menu for your MOD. This one covers every aspect of creating and integrating custom graphics into your own custom menu. "" link=""http://web.archive.org/web/20081003012733/http://www.vlatitude.com/tutorials.php?tutID=48"" /]",[hl],"[author name=""ArchVile"" alt=""vlatitude"" img=""https://s5.postimg.cc/o6iv6hwjn/vlatitude.png""]"
"[tut_desc name=""Half-Life Cheats"" desc=""Half-Life Cheats"" link=""http://web.archive.org/web/http://halflife.gamedesign.net/resources/cheat.shtml"" /]",[hl],"[author name=""HERC"" alt=""herc"" img=""https://s5.postimg.cc/8b4jt9n2b/herc.png""]"
"[tut_desc name="" Change In-game FOV"" desc=""I'm gonna show you how you can change Field of View (FOV) in Half-Life."" link=""https://gamebanana.com/tuts/12397"" /]",[hl],"[author name=""theNurky"" alt=""gamebanana"" img=""https://s5.postimg.cc/daa8em6fr/gamebanana_author.png"" /]"
"[tut_desc name=""Steam/Tools/Half-Life Dedicated Server"" desc=""Steam/Tools/Half-Life Dedicated Server"" link=""https://gamebanana.com/tuts/11540"" /]",[hl],"[author name=""Bacardi"" alt=""gamebanana"" img=""https://s5.postimg.cc/daa8em6fr/gamebanana_author.png"" /]"
"[tut_desc name=""File Structure For Mods (PAK file)"" desc=""A typical .PAK file structure that shows you where your mod files should go within your mod's custom .PAK file."" link=""http://web.archive.org/web/20150316130858/http://halflifezone.com/forums/viewtopic.php?f=39&t=56"" /]",[hl],"[author name=""hl_freak"" alt=""generic"" img=""https://s5.postimg.cc/oq1vjltkz/generic_author.png"" /]"
"[tut_desc name=""Basic Console Commands"" desc=""Basic Console Commands"" link=""https://web.archive.org/web/20090430203412/http://hl.gamegate2k.com:80/halflife/generalconsolecommands"" /]",[hl],"[author name=""gamegate2k"" alt=""generic"" img=""https://s5.postimg.cc/oq1vjltkz/generic_author.png"" /]"
"[tut_desc name=""Half-Life Cheats"" desc=""Half-Life Cheats"" link=""https://web.archive.org/web/20090524060945/http://hl.gamegate2k.com:80/halflife/hlcheats"" /]",[hl],"[author name=""gamegate2k"" alt=""generic"" img=""https://s5.postimg.cc/oq1vjltkz/generic_author.png"" /]"
"[tut_desc name=""Half-Life Mouse & Joystick Variables"" desc=""Half-Life Mouse & Joystick Variables"" link=""https://web.archive.org/web/20090612011427/http://hl.gamegate2k.com:80/halflife/mjv"" /]",[hl],"[author name=""gamegate2k"" alt=""generic"" img=""https://s5.postimg.cc/oq1vjltkz/generic_author.png"" /]"
"[tut_desc name=""Half-Life Audio & Video Variables"" desc=""Half-Life Audio & Video Variables"" link=""https://web.archive.org/web/20081210065305/http://hl.gamegate2k.com:80/halflife/avv"" /]",[hl],"[author name=""gamegate2k"" alt=""generic"" img=""https://s5.postimg.cc/oq1vjltkz/generic_author.png"" /]"
"[tut_desc name=""Half-Life Movie Variables"" desc=""Half-Life Movie Variables"" link=""https://web.archive.org/web/20081210065318/http://hl.gamegate2k.com:80/halflife/mv"" /]",[hl],"[author name=""gamegate2k"" alt=""generic"" img=""https://s5.postimg.cc/oq1vjltkz/generic_author.png"" /]"
"[tut_desc name=""Half-Life Movies"" desc=""Impressive movies made easy."" link=""http://articles.thewavelength.net/546/"" /]",[hl],"[author name=""Forceflow"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Terms and tips for more successful mapping - Part 1"" desc=""Terms and tips for more successful mapping"" link=""http://web.archive.org/web/20031018034541/http://www.planethalflife.com/chaincraft/resources/explanations1.htm"" /]",[hl],"[author name=""Chaincraft"" alt=""generic"" img=""https://s5.postimg.cc/oq1vjltkz/generic_author.png""]"
"[tut_desc name=""Exploiting the Custom Game menu"" desc=""This tutorial teaches how to add your MOD to the ""Custom Game"" menu in Half-Life. This is a must for releasing any serious package."" link=""http://web.archive.org/web/20081003012707/http://www.vlatitude.com/tutorials.php?tutID=43"" /]",[hl],"[author name=""ArchVile"" alt=""vlatitude"" img=""https://s5.postimg.cc/o6iv6hwjn/vlatitude.png""]"
"[tut_desc name=""The Valve Half-Life SDK"" desc=""botmans introduction to The Valve Half-Life SDK"" link=""http://hpb-bot.bots-united.com/sdk.html"" /]",[hl],"[author name=""botman"" alt=""generic"" img=""https://s5.postimg.cc/oq1vjltkz/generic_author.png""]"
"[tut_desc name=""Alias list"" desc=""nice list of aliases"" link=""https://web.archive.org/web/20000606061321fw_/http://www.planethalflife.com:80/thebind/alias.htm"" /]",[hl],"[author name=""va"" alt=""generic"" img=""https://s5.postimg.cc/oq1vjltkz/generic_author.png"" /]"
"[tut_desc name=""Splash Screens for Steam"" desc=""How to get your mod splash screens to work in Steam HL."" link=""https://twhl.info/wiki/page/Tutorial%3A_Splash_Screens_for_Steam"" /]",[hl],"[author name=""ChickenFist"" alt=""twhl"" img=""https://s5.postimg.cc/whili5xqb/twhl_author.png""]"
"[tut_desc name=""The unofficial Half-Life MOD FAQ"" desc=""botmans unofficial Half-Life MOD FAQ"" link=""http://hpb-bot.bots-united.com/mod_faq.html"" /]",[hl],"[author name=""botman"" alt=""generic"" img=""https://s5.postimg.cc/oq1vjltkz/generic_author.png""]"
"[tut_desc name=""Playing HL in first-person with player model"" desc=""Playing HL in first-person with player model"" link=""https://gamebanana.com/tuts/12266"" /]",[hl],"[author name=""CS Pro"" alt=""gamebanana"" img=""https://s5.postimg.cc/daa8em6fr/gamebanana_author.png"" /]"
"[tut_desc name=""Glossary of Editing Terms"" desc=""Confused by an editing term that you've seen? Check here for its meaning."" link=""http://web.archive.org/web/http://halflife.gamedesign.net/resources/glossary.shtml"" /]",[hl],"[author name=""HERC"" alt=""herc"" img=""https://s5.postimg.cc/8b4jt9n2b/herc.png""]"
"[tut_desc name=""Useful console commands "" desc=""This tutorial explains the use of some specific console commands mostly used for mapping and debugging."" link=""https://web.archive.org/web/20050409190318/http://www.tdcom.net:80/lacos/?section=2&subsection=5"" /]",[hl],"[author name=""lacos"" alt=""generic"" img=""https://s5.postimg.cc/oq1vjltkz/generic_author.png"" /]"
"[tut_desc name=""Half-Life Movies : An Introduction"" desc=""A Brief History of Machinima"" link=""https://web.archive.org/web/20040408051146/http://planethalflife.com:80/vision/tutorials/movie_types.htm"" /]",[hl],"[author name=""pov"" alt=""generic"" img=""https://s5.postimg.cc/oq1vjltkz/generic_author.png"" /]"
"[tut_desc name=""How to return to the Old Models"" desc=""How to return to the Old Models"" link=""https://steamcommunity.com/sharedfiles/filedetails/?id=125519186"" /]",[hl],"[author name=""Chuma "" alt=""steam"" img=""https://s5.postimg.cc/xxn9l8b2b/steam_community_author.png"" /]"
"[tut_desc name=""How To Fix The Screen Zoom-In Problem"" desc=""This guide will help you fix the problem some people have when the screen gets zoomed in too much."" link=""https://steamcommunity.com/sharedfiles/filedetails/?id=340995480"" /]",[hl],"[author name=""Olde"" alt=""steam"" img=""https://s5.postimg.cc/xxn9l8b2b/steam_community_author.png"" /]"
"[tut_desc name=""WorldCraft v2.0 Compile-Setup FAQ"" desc=""This FAQ is designed to help you get WorldCraft setup so that it will compile correctly."" link=""https://web.archive.org/web/20020317080815/http://www.planethalflife.com:80/wavelengtH/levels/resources/comp_faq.html"" /]",[hl],"[author name=""HellBringer"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png"" /]"
"[tut_desc name=""Cinematography in GoldSrc"" desc=""Cinematography in GoldSrc"" link=""https://steamcommunity.com/sharedfiles/filedetails/?id=1172439308"" /]",[hl],"[author name=""oxcjae"" alt=""steam"" img=""https://s5.postimg.cc/xxn9l8b2b/steam_community_author.png"" /]"
"[tut_desc name=""Half-Life FPS UNLOCK"" desc=""FPS UNLOCK"" link=""https://steamcommunity.com/sharedfiles/filedetails/?id=843700257"" /]",[hl],"[author name=""Elf LVL 99"" alt=""steam"" img=""https://s5.postimg.cc/xxn9l8b2b/steam_community_author.png"" /]"
"[tut_desc name=""List of console commands"" desc=""The following is a list of commands that can be performed in your console or be added to your userconfig file"" link=""https://steamcommunity.com/sharedfiles/filedetails/?id=123119241"" /]",[hl],"[author name=""Stu Pidaso"" alt=""steam"" img=""https://s5.postimg.cc/xxn9l8b2b/steam_community_author.png"" /]"
"[tut_desc name=""How to change your crosshairs"" desc=""This will show you how to change your crosshairs"" link=""https://steamcommunity.com/sharedfiles/filedetails/?id=122966843"" /]",[hl],"[author name=""Stu Pidaso"" alt=""steam"" img=""https://s5.postimg.cc/xxn9l8b2b/steam_community_author.png"" /]"
"[tut_desc name=""How to remove texture filtering in OpenGL"" desc=""Here's how to remove that cursed smoothening effect from your textures"" link=""https://steamcommunity.com/sharedfiles/filedetails/?id=244861148"" /]",[hl],"[author name=""Aublak"" alt=""steam"" img=""https://s5.postimg.cc/xxn9l8b2b/steam_community_author.png"" /]"
